nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
 RUBENS BUENO,M,91,1,0,65,6,0, 23/05/1948,"264.622,72","8.067,94","32.116,20","31.184,36","37.095,34","57.749,32","33.151,06","34.635,51","8.556,44","14.471,08","7.256,76","338,71",0,"1.095.692,94","111.253,23","111.253,23","106.987,97","108.825,69","110.646,65","110.646,65","110.646,65","109.798,80","106.891,90","108.742,17",0,0,"33.763,00",
 RUBENS OTONI GOMIDE,M,75,12,5,11,19,2, 06/02/1956,"300.711,49","32.770,27","38.194,47","41.561,05","46.402,99","41.744,76","29.613,60","32.364,01","12.903,41","6.401,63","18.755,30","0,00",0,"1.113.548,29","111.544,41","111.544,41","111.544,41","111.544,41","111.501,56","111.004,56","111.429,17","111.429,17","111.429,17","110.577,02",0,0,"33.763,00",
 SAMUEL MOREIRA DA SILVA JUNIOR,M,88,1,3,45,3,2, 09/02/1963,"285.184,26","18.924,07","25.557,73","40.933,34","50.610,63","38.706,58","35.099,02","21.805,45","22.925,53","7.648,25","22.973,66","0,00",0,"1.071.296,58","110.903,38","104.766,87","107.428,02","108.475,26","109.925,19","106.920,40","110.435,32","105.277,21","100.395,58","106.769,35",0,0,"33.763,00",
 RUI GOETHE DA COSTA FALCÃO,M,87,5,0,46,9,0, 26/11/1943,"303.728,09","34.561,93","52.337,32","42.161,06","44.047,45","41.707,80","30.798,56","25.457,29","16.247,47","11.501,64","4.594,84","312,73",0,"1.111.143,21","111.162,30","111.162,30","111.162,30","111.162,30","110.682,51","111.162,30","111.162,30","111.162,30","111.162,30","111.162,30",0,0,"33.763,00",
 RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,M,79,1,12,17,8,9, 17/08/1970,"298.537,83","20.866,77","42.973,86","56.349,51","42.187,85","35.887,63","21.876,48","14.050,68","4.363,86","559,91","59.100,48","320,80",0,"1.113.165,15","111.550,47","111.395,79","111.180,85","111.301,37","111.550,47","111.320,37","110.214,42","111.550,47","111.550,47","111.550,47",0,0,"33.763,00",2
 UBIRATAN ANTUNES SANDERSON,M,89,2,1,61,17,0, 01/12/1969,"366.762,57","37.912,59","40.802,71","53.845,45","35.943,44","48.706,99","42.505,85","39.027,03","29.437,05","28.130,75","9.907,64","543,07",0,"1.099.778,40","107.480,38","107.480,38","109.483,26","111.119,86","111.119,86","110.913,82","107.219,92","111.653,64","111.653,64","111.653,64",0,0,"33.763,00",
 JOSÉ WILSON SANTIAGO,M,83,5,4,4,31,1, 10/06/1957,"317.146,93","30.349,27","31.771,02","37.471,51","42.306,88","41.459,58","17.270,03","59.218,14","39.103,16","6.056,23","11.543,92","597,19",0,"1.113.534,57","111.538,45","111.556,03","110.472,05","111.429,07","111.316,59","111.277,46","111.311,90","111.544,34","111.544,34","111.544,34",0,0,"33.763,00",
 JOSÉ CERQUEIRA DE SANTANA NETO,M,83,3,6,54,7,0, 30/03/1964,"327.359,38","50.626,31","24.451,08","44.445,51","53.822,92","32.644,89","40.002,57","24.693,20","26.270,76","8.182,14","22.220,00","0,00",0,"1.072.580,28","107.824,82","108.164,81","106.195,45","109.255,70","107.442,69","107.878,99","106.497,60","106.497,60","106.497,60","106.325,02",0,0,"33.763,00",
 WOLNEY QUEIROZ MACIEL,M,82,0,10,2,33,5, 12/12/1972,"270.763,67","15.044,01","23.566,54","35.336,53","30.994,45","66.224,67","21.880,28","15.898,60","18.340,68","27.414,61","15.928,08","135,22",0,"1.115.322,00","111.532,20","111.532,20","111.532,20","111.532,20","111.532,20","111.532,20","111.532,20","111.532,20","111.532,20","111.532,20",0,0,"33.763,00",
 JOSÉ CARLOS NUNES JÚNIOR,M,77,0,15,1,0,0, 26/05/1955,"358.108,53","34.876,44","34.076,57","52.451,67","56.019,27","49.235,77","38.194,51","39.063,35","26.889,26","22.924,56","3.359,81","1.017,32",0,"1.100.240,21","111.046,99","111.046,99","111.103,15","106.832,08","111.043,48","110.100,74","111.389,82","109.743,83","107.342,40","110.590,73",0,0,"33.763,00",1
 JOSE VITOR DE RESENDE AGUIAR,M,73,3,16,26,15,12, 01/11/1984,"230.560,33","26.074,83","41.836,76","29.417,95","31.715,89","26.392,47","27.638,60","9.780,96","4.941,65","5.612,06","27.149,16","0,00",0,"1.112.005,71","111.586,81","108.697,96","111.507,97","111.507,97","111.165,15","111.507,97","111.507,97","111.507,97","111.507,97","111.507,97",0,0,"33.763,00",2
 JOSÉ SILVA SOARES,M,81,7,4,46,42,6, 11/05/1963,"272.945,30","13.589,72","23.281,74","58.030,74","45.654,35","51.011,56","24.752,96","20.633,31","16.662,24","7.130,92","12.197,76","0,00",0,"1.088.859,17","108.014,11","108.014,11","107.883,21","103.238,92","108.831,65","109.953,60","109.039,66","111.653,63","111.653,63","110.576,65",0,0,"33.763,00",1
 JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,M,75,7,10,9,22,4, 21/06/1978,"355.256,89","38.322,57","33.224,73","52.793,19","47.568,26","57.184,71","29.897,60","36.352,08","15.418,42","9.617,40","34.877,93","0,00",0,"1.089.445,65","111.077,16","111.077,16","107.757,43","108.634,49","107.404,64","103.768,48","108.159,53","108.272,04","111.647,36","111.647,36",0,0,"33.763,00",
 SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,M,61,0,31,2,9,10, 31/08/1968,"368.210,84","32.611,71","61.997,85","45.761,75","50.783,90","40.852,42","33.153,10","37.014,05","32.841,73","22.279,93","10.154,47","759,93",0,"1.105.562,32","111.550,40","111.550,40","111.151,62","108.271,62","111.550,40","111.283,71","107.107,52","111.550,44","111.475,23","110.070,98",0,0,"33.763,00",
 SERGIO TOLEDO DE ALBUQUERQUE,M,47,1,44,1,1,20, 29/01/1962,"285.443,15","30.247,71","39.363,12","39.439,74","40.960,33","29.762,44","19.142,21","17.310,55","25.965,33","22.299,28","20.952,44","0,00",0,"1.115.988,90","111.598,89","111.598,89","111.598,89","111.598,89","111.598,89","111.598,89","111.598,89","111.598,89","111.598,89","111.598,89",0,0,"33.763,00",
 SÉRGIO LUÍS LACERDA BRITO,M,69,13,10,6,20,4, 08/06/1961,"346.032,56","45.663,60","42.654,52","52.570,85","42.077,69","38.621,82","34.830,22","44.740,63","15.255,91","11.831,58","16.539,03","1.246,71",0,"1.114.170,62","111.512,47","111.637,96","111.607,20","111.538,25","111.538,25","111.179,96","111.280,54","111.378,74","111.647,19","110.850,06",0,0,"33.763,00",
 GILSON CARDOSO FAHUR,M,92,0,0,27,2,0, 06/11/1963,"234.354,10","26.338,65","13.404,82","31.325,22","52.086,32","24.388,06","22.309,23","29.172,80","14.543,32","12.015,50","7.356,54","1.413,64",0,"703.510,23","66.705,81","69.549,81","73.341,81","73.341,81","73.341,81","73.341,81","73.341,81","67.133,94","66.705,81","66.705,81",0,0,"33.763,00",
 SERGIO DE SOUZA,M,84,4,4,20,0,0, 13/03/1971,"356.816,76","44.666,86","38.116,97","56.387,62","38.979,42","53.792,86","36.334,73","28.323,07","27.848,37","7.279,42","25.087,44","0,00",0,"1.083.098,44","103.465,18","111.598,82","111.598,82","108.459,16","95.170,25","107.026,01","111.202,02","111.526,06","111.526,06","111.526,06",0,0,"33.763,00",1
 SILAS CÂMARA,M,68,8,16,14,19,16, 15/12/1962,"368.160,41","53.511,75","30.068,31","89.746,79","49.917,31","26.361,91","26.004,72","3.334,78","49.845,67","36.031,91","3.337,26","0,00",0,"1.074.101,37","110.677,96","110.638,64","109.858,49","104.374,60","104.374,60","105.000,60","106.461,25","107.232,58","107.789,66","107.692,99",0,0,"33.763,00",
 SEVERINO DE LIRA PESSÔA,M,79,7,6,13,16,2, 06/02/1970,"347.869,75","56.448,73","40.975,67","38.983,26","51.480,91","46.528,02","20.039,00","12.962,54","10.449,32","2,30","70.000,00","0,00",0,"1.087.308,07","107.456,07","107.456,07","110.847,44","108.039,99","109.624,62","110.681,41","110.195,41","109.900,71","111.249,56","101.856,79",0,0,"33.763,00",
 SIDNEY RICARDO DE OLIVEIRA LEITE,M,84,8,0,59,7,0, 08/04/1967,"269.893,45","8.648,68","35.886,24","88.152,88","30.161,65","54.238,48","27.619,45","17.293,50","2.933,41","2,45","4.750,00","206,71",0,"1.106.747,78","111.580,83","110.906,22","107.595,38","111.325,25","111.241,15","111.562,02","111.659,67","111.659,67","111.591,32","107.626,27",0,0,"33.763,00",
 FRANCISCO TADEU BARBOSA DE ALENCAR,M,82,1,9,43,39,15, 08/04/1963,"369.922,73","32.161,87","34.787,81","47.035,48","52.313,50","53.943,06","36.506,38","38.165,37","27.985,97","34.985,40","11.319,38","718,51",0,"913.256,03","82.100,84","82.100,84","82.100,84","82.100,84","83.823,55","94.672,90","99.931,87","102.657,96","102.657,96","101.108,43",0,0,"33.763,00",
 STEFANO AGUIAR DOS SANTOS,M,75,7,10,7,9,7, 03/03/1976,"285.738,03","32.277,66","34.395,67","41.449,67","37.761,02","36.140,38","32.186,87","29.189,44","19.927,58","17.465,41","4.443,71","500,62",0,"1.105.220,16","111.507,96","111.507,96","111.507,96","111.507,96","111.507,96","109.724,62","109.724,62","109.724,62","109.724,62","108.781,88",0,0,"33.763,00",
 SILVIO SERAFIM COSTA FILHO,M,80,6,6,31,6,2, 05/03/1982,"393.355,25","30.879,38","33.467,56","50.370,63","44.280,75","48.544,47","36.480,91","35.984,13","48.988,28","27.163,19","37.195,95","0,00",0,"1.114.520,69","111.550,59","111.550,59","111.327,92","111.550,59","110.788,05","111.550,59","111.550,59","111.550,59","111.550,59","111.550,59",0,0,"33.763,00",
 SOSTENES SILVA CAVALCANTE,M,90,1,1,22,50,3, 16/01/1975,"282.852,51","32.645,07","36.686,76","37.385,24","34.187,85","42.574,72","33.422,21","27.180,57","16.640,69","10.097,79","11.563,72","467,89",0,"1.110.795,89","111.471,63","111.471,65","110.392,32","109.919,18","110.901,44","110.898,63","111.435,26","111.435,26","111.435,26","111.435,26",0,0,"33.763,00",
 LUIZ GONZAGA RIBEIRO,M,86,3,3,95,15,2, 31/05/1962,"321.138,71","22.268,14","23.219,41","37.183,66","43.427,86","54.538,56","30.205,10","35.399,21","27.745,12","24.901,42","21.907,68","342,55",0,"1.107.163,31","111.544,49","111.544,49","111.535,88","111.461,97","110.137,20","109.363,20","110.137,20","110.137,20","110.137,20","111.164,48",0,0,"33.763,00",
 FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,M,69,2,21,4,8,8, 01/05/1965,"191.016,33","10.744,18","20.999,68","20.819,91","22.736,94","28.371,73","25.748,36","27.555,21","15.056,32","13.606,42","5.377,58","0,00",0,"1.094.487,90","111.143,93","111.143,93","111.048,44","111.598,88","111.598,88","111.598,88","111.598,88","105.364,04","104.696,02","104.696,02",0,0,"33.763,00",
 TIAGO LIMA MITRAUD DE CASTRO LEITE,M,92,0,0,107,7,0, 15/08/1986,"27.647,47","3.566,57","3.135,34","2.309,40","2.560,68","8.067,83","4.398,55","2.855,86","216,89","191,77","344,58","0,00",0,"408.211,46","34.798,86","31.959,96","43.996,79","52.593,10","55.384,47","56.148,88","53.361,59","43.944,69","14.691,41","21.331,71",0,0,"33.763,00",
 Tiago Dimas Braga Pereira,M,89,3,0,9,1,0, 04/08/1988,"339.544,34","25.207,06","42.885,58","64.235,29","54.312,34","20.107,35","27.029,27","25.908,66","11.604,28","48.026,14","14.528,62","5.699,75",0,"1.093.177,33","111.006,97","109.190,74","109.190,74","109.190,74","108.805,07","110.517,32","111.287,52","109.789,26","103.714,49","110.484,48",0,0,"33.763,00",
 CARLOS TITO MARQUES CORDEIRO,M,92,0,0,27,7,0, 17/11/1976,"277.582,97","30.501,30","31.777,19","27.564,37","31.159,96","81.946,39","12.029,60","20.240,56","18.796,03","10.779,49","12.788,08","0,00",0,"1.115.576,55","111.587,05","111.587,05","111.587,05","111.564,01","111.498,03","111.550,67","111.550,67","111.550,67","111.550,67","111.550,68",0,0,"33.763,00",
 ANTONIO WANDSCHEER,M,81,7,4,3,2,0, 31/08/1950,"305.031,20","41.777,79","39.307,55","48.754,02","48.076,79","33.128,88","24.222,67","17.864,61","13.310,97","6.776,98","31.802,06","8,88",0,"1.090.237,69","111.665,71","111.665,71","111.665,71","111.665,71","106.352,43","103.305,77","105.808,24","109.253,63","109.427,39","109.427,39",0,0,"33.763,00",
 TÚLIO GADÊLHA SALES DE MELO,M,84,0,8,53,61,16, 12/11/1987,"378.962,88","22.201,56","33.060,63","55.862,54","51.086,03","59.826,44","34.741,72","31.903,99","31.005,22","24.904,26","33.878,06","492,43",0,"1.104.734,62","111.435,40","110.985,67","111.288,65","110.232,48","111.665,84","110.955,10","108.096,17","108.686,96","111.593,09","109.795,26",0,0,"33.763,00",
 ULDURICO ALENCAR PINTO,M,77,6,9,5,13,5, 30/01/1992,"391.674,99","5.676,51","39.129,50","29.853,85","79.759,43","19.410,55","25.244,16","35.620,95","73.478,81","37.352,03","82,46","46.066,74",0,"1.096.172,61","109.183,02","109.663,55","110.707,30","109.378,89","108.692,27","109.378,89","109.378,89","109.378,89","110.140,36","110.270,55",0,0,"33.763,00",
 VANDER LUIZ DOS SANTOS LOUBET,M,87,2,3,13,9,1, 22/01/1964,"316.540,60","49.425,10","33.639,23","37.451,17","39.976,96","41.545,38","38.451,69","27.215,78","9.051,50","4.247,41","34.985,54","550,84",0,"1.102.777,75","107.579,85","107.298,47","107.298,47","110.642,16","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80",0,0,"33.763,00",
 VALMIR CARLOS DA ASSUNÇÃO,M,83,2,7,13,9,2, 17/12/1964,"360.983,20","44.395,14","45.660,00","44.131,60","48.258,75","36.050,94","38.814,68","34.071,61","34.806,12","17.856,95","16.825,48","111,93",0,"1.102.047,27","111.617,19","111.617,19","111.476,50","111.617,19","111.617,19","110.585,18","104.425,66","106.305,67","111.392,75","111.392,75",0,0,"33.763,00",
 VANDERLEI MACRIS,M,83,5,4,24,10,5, 20/05/1950,"387.000,21","58.359,31","41.010,69","35.983,56","33.429,65","34.362,74","43.973,37","39.405,44","37.712,64","27.149,77","35.230,92","382,12",0,"1.100.112,80","109.269,77","108.453,91","111.586,33","111.659,71","111.659,71","111.659,71","107.850,57","109.854,64","109.269,77","108.848,68",0,0,"33.763,00",
 WAGNER BACH MARTINS,M,82,8,2,16,10,6, 03/06/1982,"237.492,49","13.175,53","18.160,99","85.161,64","31.772,02","23.536,01","37.453,18","15.004,74","9.785,52","2.972,47","470,39","0,00",0,"1.110.283,01","111.032,85","108.426,50","110.051,36","111.574,66","111.574,66","111.324,34","111.574,66","111.574,66","111.574,66","111.574,66",0,0,"33.763,00",
 NELSI COGUETTO MARIA,M,85,4,3,16,3,0, 01/03/1959,"355.234,84","40.396,46","36.014,91","46.849,79","40.603,35","52.721,83","37.782,35","27.881,30","18.738,35","27.472,39","25.059,43","1.714,68",0,"1.097.570,35","110.519,15","108.830,28","109.428,11","104.631,08","109.592,25","110.331,11","110.331,11","110.588,22","111.659,52","111.659,52",0,0,"33.763,00",
 VICENTE PAULO DA SILVA,M,83,2,7,19,14,2, 08/04/1956,"294.730,15","13.501,99","33.730,27","71.585,86","35.951,02","45.465,67","34.562,44","36.569,02","17.307,06","5.656,42","400,40","0,00",0,"1.115.080,20","111.508,02","111.508,02","111.508,02","111.508,02","111.508,02","111.508,02","111.508,02","111.508,02","111.508,02","111.508,02",0,0,"33.763,00",
 VICENTE ALVES DE OLIVEIRA JUNIOR,M,69,23,0,15,23,0, 11/04/1985,"407.540,10","37.276,44","39.572,89","42.368,97","39.808,60","30.327,75","41.871,00","42.317,27","33.618,36","50.378,82","50.000,00","0,00",0,"1.070.076,38","111.477,70","110.881,51","111.497,27","111.034,88","111.354,02","111.014,26","108.081,62","98.361,27","100.031,52","96.342,33",0,0,"33.763,00",
 VINICIUS RAPOZO DE CARVALHO,M,79,0,13,9,10,5, 07/01/1966,"334.073,79","41.672,56","39.581,43","57.042,94","42.691,74","36.753,20","39.290,07","35.365,86","18.744,31","15.161,03","7.367,26","403,39",0,"1.063.351,76","103.616,36","103.616,36","103.616,36","103.616,36","104.709,37","105.399,70","107.051,56","110.786,16","110.786,16","110.153,37",0,0,"33.763,00",1
 VINICIUS LAZZER POIT,M,86,1,5,25,4,4, 31/01/1986,"170.973,90","18.431,82","19.119,82","20.091,36","22.529,20","18.953,40","13.634,91","18.453,31","20.492,33","19.267,75","0,00","0,00",0,"653.485,14","68.524,60","67.693,70","68.191,96","63.479,21","70.848,78","70.848,78","70.848,78","56.804,65","51.380,32","64.864,36",0,0,"33.763,00",
 VILSON LUIZ DA SILVA,M,88,1,3,59,2,2, 01/05/1957,"244.199,02","13.864,38","12.202,47","12.981,84","35.640,68","38.383,43","48.646,12","35.184,80","19.061,99","16.192,22","11.829,03","212,06",0,"1.038.806,07","100.801,90","100.801,90","99.965,01","103.710,64","110.925,72","105.055,83","105.194,90","109.355,65","108.535,78","94.458,74",0,0,"33.763,00",
 JOSÉ WELLINGTON ROBERTO,M,64,1,27,0,16,10, 19/05/1959,"360.271,30","25.689,37","50.571,50","45.460,46","46.200,51","47.674,96","32.937,83","37.926,77","12.640,71","33.901,72","27.267,47","0,00",0,"1.108.253,01","111.507,89","111.507,89","110.523,07","107.146,56","110.382,39","111.153,65","111.507,89","111.507,89","111.507,89","111.507,89",0,0,"33.763,00",
 WELITON FERNANDES PRADO,M,90,0,2,96,23,8, 24/08/1975,"215.735,14","45.629,83","47.215,79","38.327,43","43.865,45","23.458,59","9.586,59","1.947,66","5.313,92","389,88","0,00","0,00",0,"1.100.802,77","103.167,75","108.917,52","111.253,88","110.595,57","111.288,73","111.345,91","110.034,83","111.544,46","111.082,65","111.571,47",0,0,"33.763,00",
 WALDENOR ALVES PEREIRA FILHO,M,84,0,8,32,18,2, 08/03/1954,"274.521,99","29.031,76","42.754,83","49.047,12","41.518,06","42.594,78","26.126,51","17.743,64","6.816,73","7.094,89","11.213,89","579,78",0,"1.107.206,78","111.659,64","111.659,64","111.659,64","110.105,78","110.466,03","110.331,21","110.331,21","110.331,21","110.331,21","110.331,21",0,0,"33.763,00",
 VITOR LIPPI,M,89,3,0,31,12,0, 18/05/1959,"318.109,70","24.259,78","32.569,74","36.922,21","49.406,16","47.864,03","26.402,16","27.593,94","26.251,12","26.683,06","19.959,50","198,00",0,"1.029.677,80","101.487,37","101.487,37","102.816,16","107.061,86","107.511,90","107.668,44","100.367,15","100.425,85","100.425,85","100.425,85",0,0,"33.763,00",
 WALTER PEREIRA ALVES,M,77,7,8,9,8,4, 27/02/1980,"317.645,88","16.275,45","52.068,25","43.693,12","58.063,77","58.625,31","36.037,87","19.606,30","21.869,88","3.382,11","7.812,68","211,14",0,"1.110.706,61","109.243,61","110.758,36","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08","111.338,08",0,0,"33.763,00",
